prompt,original_prompt,Object 1,Object 2,temp_object,static_object,control_signal1,control_signal2
"The video begins with a serene view centered on the bird, with no sign of the cat. In the second half, the cat unexpectedly appears, altering the dynamic of the scene.",a bird and a cat,bird,cat,cat,bird,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the kitten, with no sign of the puppy. In the second half, the puppy unexpectedly appears, altering the dynamic of the scene.",a cat and a dog,kitten,puppy,puppy,kitten,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the stallion, with no sign of the puppy. In the second half, the puppy unexpectedly appears, altering the dynamic of the scene.",a dog and a horse,puppy,stallion,puppy,stallion,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the sheep, with no sign of the horse. In the second half, the horse unexpectedly appears, altering the dynamic of the scene.",a horse and a sheep,horse,sheep,horse,sheep,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the sheep, with no sign of the cow. In the second half, the cow unexpectedly appears, altering the dynamic of the scene.",a sheep and a cow,sheep,cow,cow,sheep,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the cow, with no sign of the elephant. In the second half, the elephant unexpectedly appears, altering the dynamic of the scene.",a cow and an elephant,cow,elephant,elephant,cow,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the elephant, with no sign of the bear. In the second half, the bear unexpectedly appears, altering the dynamic of the scene.",an elephant and a bear,elephant,bear,bear,elephant,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bear, with no sign of the zebra. In the second half, the zebra unexpectedly appears, altering the dynamic of the scene.",a bear and a zebra,bear,zebra,zebra,bear,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the giraffe, with no sign of the zebra. In the second half, the zebra unexpectedly appears, altering the dynamic of the scene.",a zebra and a giraffe,zebra,giraffe,zebra,giraffe,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the giraffe, with no sign of the bird. In the second half, the bird unexpectedly appears, altering the dynamic of the scene.",a giraffe and a bird,giraffe,bird,bird,giraffe,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the chair, with no sign of the couch. In the second half, the couch unexpectedly appears, altering the dynamic of the scene.",a chair and a couch,chair,couch,couch,chair,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the potted plant, with no sign of the couch. In the second half, the couch unexpectedly appears, altering the dynamic of the scene.",a couch and a potted plant,couch,potted plant,couch,potted plant,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the television, with no sign of the potted plant. In the second half, the potted plant unexpectedly appears, altering the dynamic of the scene.",a potted plant and a tv,potted plant,television,potted plant,television,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the laptop, with no sign of the TV. In the second half, the TV unexpectedly appears, altering the dynamic of the scene.",a tv and a laptop,TV,laptop,TV,laptop,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the laptop, with no sign of the remote control. In the second half, the remote control unexpectedly appears, altering the dynamic of the scene.",a laptop and a remote,laptop,remote control,remote control,laptop,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the remote control, with no sign of the keyboard. In the second half, the keyboard unexpectedly appears, altering the dynamic of the scene.",a remote and a keyboard,remote control,keyboard,keyboard,remote control,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the phone, with no sign of the keyboard. In the second half, the keyboard unexpectedly appears, altering the dynamic of the scene.",a keyboard and a cell phone,keyboard,phone,keyboard,phone,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the book, with no sign of the phone. In the second half, the phone unexpectedly appears, altering the dynamic of the scene.",a cell phone and a book,phone,book,phone,book,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the clock, with no sign of the book. In the second half, the book unexpectedly appears, altering the dynamic of the scene.",a book and a clock,book,clock,book,clock,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the clock, with no sign of the backpack. In the second half, the backpack unexpectedly appears, altering the dynamic of the scene.",a clock and a backpack,clock,backpack,backpack,clock,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the umbrella, with no sign of the backpack. In the second half, the backpack unexpectedly appears, altering the dynamic of the scene.",a backpack and an umbrella,backpack,umbrella,backpack,umbrella,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the handbag, with no sign of the umbrella. In the second half, the umbrella unexpectedly appears, altering the dynamic of the scene.",an umbrella and a handbag,umbrella,handbag,umbrella,handbag,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the handbag, with no sign of the tie. In the second half, the tie unexpectedly appears, altering the dynamic of the scene.",a handbag and a tie,handbag,tie,tie,handbag,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the suitcase, with no sign of the tie. In the second half, the tie unexpectedly appears, altering the dynamic of the scene.",a tie and a suitcase,tie,suitcase,tie,suitcase,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the vase, with no sign of the suitcase. In the second half, the suitcase unexpectedly appears, altering the dynamic of the scene.",a suitcase and a vase,suitcase,vase,suitcase,vase,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the scissors, with no sign of the vase. In the second half, the vase unexpectedly appears, altering the dynamic of the scene.",a vase and scissors,vase,scissors,vase,scissors,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the scissors, with no sign of the teddy bear. In the second half, the teddy bear unexpectedly appears, altering the dynamic of the scene.",scissors and a teddy bear,scissors,teddy bear,teddy bear,scissors,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the teddy bear, with no sign of the frisbee. In the second half, the frisbee unexpectedly appears, altering the dynamic of the scene.",a teddy bear and a frisbee,teddy bear,frisbee,frisbee,teddy bear,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the skis, with no sign of the frisbee. In the second half, the frisbee unexpectedly appears, altering the dynamic of the scene.",a frisbee and skis,frisbee,skis,frisbee,skis,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the snowboard, with no sign of the skis. In the second half, the skis unexpectedly appears, altering the dynamic of the scene.",skis and a snowboard,skis,snowboard,skis,snowboard,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the ball, with no sign of the snowboard. In the second half, the snowboard unexpectedly appears, altering the dynamic of the scene.",a snowboard and a sports ball,snowboard,ball,snowboard,ball,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the ball, with no sign of the kite. In the second half, the kite unexpectedly appears, altering the dynamic of the scene.",a sports ball and a kite,ball,kite,kite,ball,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the baseball bat, with no sign of the kite. In the second half, the kite unexpectedly appears, altering the dynamic of the scene.",a kite and a baseball bat,kite,baseball bat,kite,baseball bat,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the glove, with no sign of the bat. In the second half, the bat unexpectedly appears, altering the dynamic of the scene.",a baseball bat and a baseball glove,bat,glove,bat,glove,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the skateboard, with no sign of the glove. In the second half, the glove unexpectedly appears, altering the dynamic of the scene.",a baseball glove and a skateboard,glove,skateboard,glove,skateboard,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the skateboard, with no sign of the surfboard. In the second half, the surfboard unexpectedly appears, altering the dynamic of the scene.",a skateboard and a surfboard,skateboard,surfboard,surfboard,skateboard,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the tennis racket, with no sign of the surfboard. In the second half, the surfboard unexpectedly appears, altering the dynamic of the scene.",a surfboard and a tennis racket,surfboard,tennis racket,surfboard,tennis racket,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bottle, with no sign of the tennis racket. In the second half, the tennis racket unexpectedly appears, altering the dynamic of the scene.",a tennis racket and a bottle,tennis racket,bottle,tennis racket,bottle,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the chair, with no sign of the bottle. In the second half, the bottle unexpectedly appears, altering the dynamic of the scene.",a bottle and a chair,bottle,chair,bottle,chair,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the airplane, with no sign of the train. In the second half, the train unexpectedly appears, altering the dynamic of the scene.",an airplane and a train,airplane,train,train,airplane,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the boat, with no sign of the train. In the second half, the train unexpectedly appears, altering the dynamic of the scene.",a train and a boat,train,boat,train,boat,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the boat, with no sign of the airplane. In the second half, the airplane unexpectedly appears, altering the dynamic of the scene.",a boat and an airplane,boat,airplane,airplane,boat,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bicycle, with no sign of the car. In the second half, the car unexpectedly appears, altering the dynamic of the scene.",a bicycle and a car,bicycle,car,car,bicycle,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the car, with no sign of the motorcycle. In the second half, the motorcycle unexpectedly appears, altering the dynamic of the scene.",a car and a motorcycle,car,motorcycle,motorcycle,car,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the motorcycle, with no sign of the bus. In the second half, the bus unexpectedly appears, altering the dynamic of the scene.",a motorcycle and a bus,motorcycle,bus,bus,motorcycle,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the traffic light, with no sign of the bus. In the second half, the bus unexpectedly appears, altering the dynamic of the scene.",a bus and a traffic light,bus,traffic light,bus,traffic light,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the traffic light, with no sign of the fire hydrant. In the second half, the fire hydrant unexpectedly appears, altering the dynamic of the scene.",a traffic light and a fire hydrant,traffic light,fire hydrant,fire hydrant,traffic light,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the fire hydrant, with no sign of the stop sign. In the second half, the stop sign unexpectedly appears, altering the dynamic of the scene.",a fire hydrant and a stop sign,fire hydrant,stop sign,stop sign,fire hydrant,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the stop sign, with no sign of the parking meter. In the second half, the parking meter unexpectedly appears, altering the dynamic of the scene.",a stop sign and a parking meter,stop sign,parking meter,parking meter,stop sign,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the truck, with no sign of the parking meter. In the second half, the parking meter unexpectedly appears, altering the dynamic of the scene.",a parking meter and a truck,parking meter,truck,parking meter,truck,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bicycle, with no sign of the truck. In the second half, the truck unexpectedly appears, altering the dynamic of the scene.",a truck and a bicycle,truck,bicycle,truck,bicycle,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the hair dryer, with no sign of the toilet. In the second half, the toilet unexpectedly appears, altering the dynamic of the scene.",a toilet and a hair drier,toilet,hair dryer,toilet,hair dryer,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the hair dryer, with no sign of the toothbrush. In the second half, the toothbrush unexpectedly appears, altering the dynamic of the scene.",a hair drier and a toothbrush,hair dryer,toothbrush,toothbrush,hair dryer,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the toothbrush, with no sign of the sink. In the second half, the sink unexpectedly appears, altering the dynamic of the scene.",a toothbrush and a sink,toothbrush,sink,sink,toothbrush,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the toilet, with no sign of the sink. In the second half, the sink unexpectedly appears, altering the dynamic of the scene.",a sink and a toilet,sink,toilet,sink,toilet,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the wine glass, with no sign of the chair. In the second half, the chair unexpectedly appears, altering the dynamic of the scene.",a wine glass and a chair,wine glass,chair,chair,wine glass,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the mug, with no sign of the couch. In the second half, the couch unexpectedly appears, altering the dynamic of the scene.",a cup and a couch,mug,couch,couch,mug,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the fork, with no sign of the potted plant. In the second half, the potted plant unexpectedly appears, altering the dynamic of the scene.",a fork and a potted plant,fork,potted plant,potted plant,fork,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the knife, with no sign of the TV. In the second half, the TV unexpectedly appears, altering the dynamic of the scene.",a knife and a tv,knife,TV,TV,knife,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the laptop, with no sign of the spoon. In the second half, the spoon unexpectedly appears, altering the dynamic of the scene.",a spoon and a laptop,spoon,laptop,spoon,laptop,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bowl, with no sign of the remote control. In the second half, the remote control unexpectedly appears, altering the dynamic of the scene.",a bowl and a remote,bowl,remote control,remote control,bowl,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the banana, with no sign of the keyboard. In the second half, the keyboard unexpectedly appears, altering the dynamic of the scene.",a banana and a keyboard,banana,keyboard,keyboard,banana,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the apple, with no sign of the phone. In the second half, the phone unexpectedly appears, altering the dynamic of the scene.",an apple and a cell phone,apple,phone,phone,apple,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the book, with no sign of the sandwich. In the second half, the sandwich unexpectedly appears, altering the dynamic of the scene.",a sandwich and a book,sandwich,book,sandwich,book,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the orange, with no sign of the clock. In the second half, the clock unexpectedly appears, altering the dynamic of the scene.",an orange and a clock,orange,clock,clock,orange,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the broccoli, with no sign of the backpack. In the second half, the backpack unexpectedly appears, altering the dynamic of the scene.",broccoli and a backpack,broccoli,backpack,backpack,broccoli,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the carrot, with no sign of the umbrella. In the second half, the umbrella unexpectedly appears, altering the dynamic of the scene.",a carrot and an umbrella,carrot,umbrella,umbrella,carrot,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the hot dog, with no sign of the handbag. In the second half, the handbag unexpectedly appears, altering the dynamic of the scene.",a hot dog and a handbag,hot dog,handbag,handbag,hot dog,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the pizza, with no sign of the tie. In the second half, the tie unexpectedly appears, altering the dynamic of the scene.",a pizza and a tie,pizza,tie,tie,pizza,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the suitcase, with no sign of the donut. In the second half, the donut unexpectedly appears, altering the dynamic of the scene.",a donut and a suitcase,donut,suitcase,donut,suitcase,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the cake, with no sign of the vase. In the second half, the vase unexpectedly appears, altering the dynamic of the scene.",a cake and a vase,cake,vase,vase,cake,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the oven, with no sign of the scissors. In the second half, the scissors unexpectedly appears, altering the dynamic of the scene.",an oven and scissors,oven,scissors,scissors,oven,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the toaster, with no sign of the teddy bear. In the second half, the teddy bear unexpectedly appears, altering the dynamic of the scene.",a toaster and a teddy bear,toaster,teddy bear,teddy bear,toaster,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the frisbee, with no sign of the microwave. In the second half, the microwave unexpectedly appears, altering the dynamic of the scene.",a microwave and a frisbee,microwave,frisbee,microwave,frisbee,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the refrigerator, with no sign of the skis. In the second half, the skis unexpectedly appears, altering the dynamic of the scene.",a refrigerator and skis,refrigerator,skis,skis,refrigerator,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bicycle, with no sign of the airplane. In the second half, the airplane unexpectedly appears, altering the dynamic of the scene.",a bicycle and an airplane,bicycle,airplane,airplane,bicycle,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the train, with no sign of the car. In the second half, the car unexpectedly appears, altering the dynamic of the scene.",a car and a train,car,train,car,train,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the motorcycle, with no sign of the boat. In the second half, the boat unexpectedly appears, altering the dynamic of the scene.",a motorcycle and a boat,motorcycle,boat,boat,motorcycle,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the person, with no sign of the toilet. In the second half, the toilet unexpectedly appears, altering the dynamic of the scene.",a person and a toilet,person,toilet,toilet,person,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the hair dryer, with no sign of the person. In the second half, the person unexpectedly appears, altering the dynamic of the scene.",a person and a hair drier,person,hair dryer,person,hair dryer,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the person, with no sign of the toothbrush. In the second half, the toothbrush unexpectedly appears, altering the dynamic of the scene.",a person and a toothbrush,person,toothbrush,toothbrush,person,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the sink, with no sign of the person. In the second half, the person unexpectedly appears, altering the dynamic of the scene.",a person and a sink,person,sink,person,sink,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
